N° de certificado;Nombre comercial;Empresa ;Titular o Extensión; 
"06-249";"CEVAC NEW L";"CEVA SALUD ANIMAL S.R.L.";"Propio";
"06-251";"SHAMPOO SANITARIO LAIKA";"ALLIGNANI HERMANOS S R L";"Propio";
"06-252";"X2";"LABORATORIOS BIMEX S R L";"Propio";
"06-254";"MELTRA ABZ 10";"BROUWER SA";"Propio";
"06-257";"PRO-CICLAR P4 ZOOVET";"CEVA SALUD ANIMAL S.R.L.";"Propio";
"06-258";"CINKA";"LABORATORIOS AVIAR S A";"Propio";
"06-260";"Ivercal-Plus";"ESTABLECIMIENTO CALASTREME SA";"Propio";
"06-261";"AVIFEN POLVO";"LABORATORIOS AVIAR S A";"Propio";
"06-262";"Florfec";"PROAGRO SA";"Propio";
"06-263";"CURAMIC AG";"MIVET SA";"Propio";
"06-265";"Brontec Gel";"INTERBIO PHARMA S.R.L.";"Propio";
"06-266";"Triclabemdazol 5% Over";"O VE R  ORGANIZACION VETERINARIA REGIONAL SRL";"Propio";
"06-267";"Rumiclamox";"RUMINAL  S.A.";"Propio";
"06-268";"ENTERISOL ILEITIS";"BOEHRINGER INGELHEIM ANIMAL HEALTH ARGENTINA S. A.";"Propio";
"06-269";"Amoxin LA";"LABORATORIO WEIZUR ARGENTINA SA";"Propio";
"06-271";"CICLASE DL";"ZOETIS ARGENTINA S R L";"Propio";
"06-272";"WEST NILE INNOVATOR";"ZOETIS ARGENTINA S R L";"Propio";
"06-275";"Interbiotic 10";"INTERBIO PHARMA S.R.L.";"Propio";
"06-277";"INFLUVAC F";"AGROPHARMA SALUD ANIMAL SA";"Propio";
"06-278";"Civet Multivitaminico";"FACYT S R L";"Propio";
"06-280";"Ulcer - Away";"CHINFIELD SA";"Propio";
"06-281";"ACTINOBACILLUS PLEUROPNEUMONIAE(APP) ANTIBODY TEST KIT  (IDDEX APP-APX IV)";"PHIBRO ANIMAL HEALTH DE ARGENTINA S.R.L";"Propio";
"06-283";"Progesterona MAD 4 Rio de Janeiro";"ALLIGNANI HERMANOS S R L";"Propio";
"06-286";"Oxitocina Fuerte Over";"O VE R  ORGANIZACION VETERINARIA REGIONAL SRL";"Propio";
"06-287";"Bromhexin al 1% Nieser";"NIESER ARGENTINA S A";"Propio";
"06-289";"Softrim E";"KUALCOS SRL";"Propio";
"06-290";"Softrim";"KUALCOS SRL";"Propio";
"06-291";"ELECTROSALT";"CHINFIELD SA";"Propio";
"06-293";"NEUMOENTEROVAC AGROPHARMA";"AGROPHARMA SALUD ANIMAL SA";"Propio";
"06-294";"Argoselina";"LABORATORIOS ARGOS S R L";"Propio";
"06-295";"Cianocobalamina 3000";"ESTABLECIMIENTO CALASTREME SA";"Propio";
"06-296";"X - 905";"LABORATORIOS BIMEX S R L";"Propio";
"06-297";"FURIX";"INTERBIO PHARMA S.R.L.";"Propio";
"06-298";"PAULVERMIN EQUINOS";"PROMOPET SRL";"Propio";
"06-299";"Ceftiofur Paul";"PROMOPET SRL";"Propio";
"06-301";"Floxin 5%";"PROAGRO SA";"Propio";
"06-303";"Carbamax";"LABORATORIOS AVIAR S A";"Propio";
"06-304";"Floravin Polvo";"LABORATORIOS AVIAR S A";"Propio";
"06-305";"VETRIMICIN PLUS LA";"LABORATORIOS AVIAR S A";"Propio";
"06-306";"Triamcinolona 6 Lamar";"LABORATORIO LAMAR S.R.L.";"Propio";
"06-308";"AD3E MICROSULES";"MIVET SA";"Propio";
"06-309";"Prednogen Depot";"TECNOVAX BIOFARMA S. A. S.";"Propio";
"0631/E";"Aptomectin LA 1%";"AFFORD SA";"Propio";
"06-311";"ALFAFENICOL 300";"ALFA VET SA";"Propio";
"06-312";"Alfazole 10";"ALFA VET SA";"Propio";
"06-313";"Tetramax L.A. 200";"ALFA VET SA";"Propio";
"06-314";"EQUILTEN PLATA";"INSTITUTO ROSENBUSCH S A DE BIOLOGIA E Y A";"Propio";
"06-315";"Gotil";"PROAGRO SA";"Propio";
"06-316";"Shampoo Resaltador para pelo blanco Heilen Blitz";"O VE R  ORGANIZACION VETERINARIA REGIONAL SRL";"Propio";
"06-318";"FUROGEN 50";"TECNOVAX BIOFARMA S. A. S.";"Propio";
"06-319";"Shampoo resaltador para pelo negro y azul Heilen Blitz";"O VE R  ORGANIZACION VETERINARIA REGIONAL SRL";"Propio";
"06-320";"Shampoo resaltador para pelo dorado y marron Heilen Blitz";"O VE R  ORGANIZACION VETERINARIA REGIONAL SRL";"Propio";
"06-321";"TIACLOR";"VETANCO S. A.";"Propio";
"06-322";"SHAMPOO CON CLORHEXIDINA HEILEN BLITZ";"O VE R  ORGANIZACION VETERINARIA REGIONAL SRL";"Propio";
"06-323";"PHARMASIN 200";"LABORATORIOS AVIAR S A";"Propio";
"06-324";"Agro TC 50";"AGROPECUARIA MH S R L";"Propio";
"06-327";"KOBRA";"LABORATORIOS KONIG S A";"Propio";
"06-328";"PREVENCOC E 7";"LABORATORIOS INMUNER S A I Y C";"Propio";
"06-328";"PRIMUN COX 7";"LABORATORIOS CALIER DE ARGENTINA S.A.";"Extensión";
"06-329";"6 A CREMA EN  AEROSOL";"LABYES S A";"Propio";
"0633/E";"Pour On Q";"ARIO Q CHEMICAL LAB SRL";"Propio";
"06-330";"Vetrimicin Plus";"LABORATORIOS AVIAR S A";"Propio";
"06-332";"Benzoato de estradiol Von Franken";"VON FRANKEN S A I C";"Propio";
"06-334";"CLOSTRIMIQ OVIN T";"BIOCHEMIQ SA";"Propio";
"06-335";"REPROMIX";"BIOCHEMIQ SA";"Propio";
"06-338";"Hepan Comprimidos";"LABORATORIO ALQUIMIA S.A.";"Propio";
"06-339";"SPECTRYL COMPRIMIDOS";"LABORATORIO TRITON VET SRL";"Propio";
"06-341";"Hepan Inyectable";"LABORATORIO ALQUIMIA S.A.";"Propio";
"06-342";"Levan  - TC";"LABORATORIO ALQUIMIA S.A.";"Propio";
"06-343";"OCUBIOTIC COLIRIO ANTIBIOTICO";"LABYES S A";"Propio";
"06-343";"Ocubiotic Deltavet";"DELTA VET  SRL";"Extensión";
"06-345";"Diclacev";"CEVASA S. A.";"Propio";
"06-347";"Oxitetraciclina soluble 5,5% Alquimia";"LABORATORIO ALQUIMIA S.A.";"Propio";
"06-348";"TRIPLE + E";"PROMOPET SRL";"Propio";
"06-350";"Ocubiotic colirio antibiotico con esteroides";"LABYES S A";"Propio";
"06-350";"Ocubiotic Colirio Esteroides Deltavet";"DELTA VET  SRL";"Extensión";
"06-351";"ADVENT";"AMALGAMAR SRL";"Propio";
"06-353";"Seda inyectable Lamar";"LABORATORIO LAMAR S.R.L.";"Propio";
"06-354";"MONENSINA BIOFARMA";"BIOFARMA S A";"Propio";
"06-356";"CHOKE";"KW SRL";"Propio";
"06-357";"Dexa 2000 Shock inyectable";"AFFORD SA";"Propio";
"06-358";"PROVIDEAN ENTERO PLUS 7";"TECNOVAX S.A.";"Propio";
"06-359";"PROVIDEAN BH-RAB";"TECNOVAX S.A.";"Propio";
"0636/E";"Progent INJ 10%";"PROAGRO SA";"Propio";
"06-360";"DEXA 400 INYECTABLE";"AFFORD SA";"Propio";
"06-361";"Tilmicopharm 300";"PHARMAVET SA";"Propio";
"06-362";"Pharmacilina L.A. Plus";"PHARMAVET SA";"Propio";
"06-363";"Ceftiocur ";"MONTKEMT S.A.";"Propio";
"06-364";"Salinomicina Biofarma";"BIOFARMA S A";"Propio";
"06-366";"ESTRADIOL ARSA";"ARSA S R L S. R. L.";"Propio";
"06-367";"Fosfomagnesin Plus";"ARSA S R L S. R. L.";"Propio";
"06-368";"Calciodin";"LABORATORIO VETERINARIO LOPSONN DE ARGENTINA S A";"Propio";
"06-369";"Megatioc";"JOHN MARTIN SRL";"Propio";
"06-370";"HIDROCYCLIN 50 S.I.";"MERVAK S.R.L.";"Propio";
"06-371";"Salinomicina sodica 12% Apsa";"APSA INTERNACIONAL S A";"Propio";
"06-372";"MONENSINA 20% APSA";"APSA INTERNACIONAL S A";"Propio";
"06-374";"CC & T";"LABORATORIOS LOVE SUDAMERICANA S. A.";"Propio";
"06-388";"KNOCK OUT PERROS SPOT-ON";"LABORATORIO LAMAR S.R.L.";"Propio";
"06-392";"Antidiarreico Dairyfarma";"DAIRYFARMA SRL";"Propio";
"06-393";"Meloxivet Gotas";"JOHN MARTIN SRL";"Propio";
"06-395";"TM 700";"PHIBRO ANIMAL HEALTH DE ARGENTINA S.R.L";"Propio";
"06-400";"EMULSION OFTALMICA J'ANVIER";"LABORATORIOS J' ANVIER SRL";"Propio";
"06-401";"CONDUCIN";"AGREED LABORATORIOS S A";"Propio";
"06-402";"Amoxicilina + Clavulanico Arsa";"ARSA S R L S. R. L.";"Propio";
"06-404";"Imidover";"O VE R  ORGANIZACION VETERINARIA REGIONAL SRL";"Propio";
"06-405";"Antidiarreico Inyectable Ganafort";"LABORATORIO GANAFORT ARGENTINA S.A.";"Propio";
"06-407";"CLOSTRIMIQ OVIN";"BIOCHEMIQ SA";"Propio";
"06-409";"Fiproplus Lara";"ALLIGNANI HERMANOS S R L";"Propio";
"06-410";"Penicil Estrepto LPU";"PHARMAVET SA";"Propio";
"06-411";"Tilosina Dairyfarma";"DAIRYFARMA SRL";"Propio";
"06-412";"ARTIDEXA CHINFIELD";"CHINFIELD SA";"Propio";
"06-413";"BIOPOLIGEN Q";"BIOGENESIS BAGO S.A.";"Propio";
"06-414";"Piperacina Alquimia";"LABORATORIO ALQUIMIA S.A.";"Propio";
"06-417";"MADURAMICINA BIOFARMA";"BIOFARMA S A";"Propio";
"06-418";"Procilina Estrepto";"PRO SER SA";"Propio";
"06-419";"CSA 5%";"CASTELLANO GUSTAVO HECTOR";"Propio";
"06-420";"CREMA PUNTAOREJA ALQUIMIA";"LABORATORIO ALQUIMIA S.A.";"Propio";
"0644/E";"Benestrol";"SYNTEX S. A.";"Propio";
"0646/E";"CDVAC CLOSTRIMAX P-B TRADICIONAL";"CENTRO DIAGNOSTICO VETERINARIO S. A.";"Propio";
"0647/E";"CDVAC CLOSTRISEPT TRADICIONAL";"CENTRO DIAGNOSTICO VETERINARIO S. A.";"Propio";
"0651/E";"Enrofloxacina 10% Ale Bet";"LABORATORIOS ESPECIALIDADES VETERINARIAS ALE BET S R L";"Propio";
"0653/E";"Doxicilina Plus";"LABORATORIOS ESPECIALIDADES VETERINARIAS ALE BET S R L";"Propio";
"0654/E";"Ivernolona NF AD3 E";"ARIO Q CHEMICAL LAB SRL";"Propio";
"0656/E";"KILONAT L";"AGROPHARMA SALUD ANIMAL SA";"Propio";
"0659/E";"Raptopamina Premix Biofarma";"BIOFARMA S A";"Propio";
"0660/E";"ARIOMECTIN PLUS ADE";"ARIO Q CHEMICAL LAB SRL";"Propio";
"0666/E";"Doramectina 1% Ale Bet";"LABORATORIOS ESPECIALIDADES VETERINARIAS ALE BET S R L";"Propio";
"0667/E";"Doramectina 3,5% Ale-Bet";"LABORATORIOS ESPECIALIDADES VETERINARIAS ALE BET S R L";"Propio";
"0670/E";"TULAMINE";"LABORATORIO WEIZUR ARGENTINA SA";"Propio";
"0671/E";"BIOCLOSTRIGEN";"BIOGENESIS BAGO S.A.";"Propio";
"0672/E";"TRIFEN ";"TECNOFARM S. R. L.";"Propio";
"0675/E";"Ganador 1,50% AD3E";"ARIO Q CHEMICAL LAB SRL";"Propio";
"0678/E";"MOXIDEX PLUS OVINOS";"TECNOFARM S. R. L.";"Propio";
"0679/E";"Moxidex SC Inyectable";"TECNOFARM S. R. L.";"Propio";
"0682/E";"NEWMISOL F";"AGROPHARMA SALUD ANIMAL SA";"Propio";
"0685/E";"Agronyl Pour On";"AGROPHARMA SALUD ANIMAL SA";"Propio";
"0687/E";"Mediweight Max";"MEDIVET S.A.";"Extensión";
"0687/E";"OVERWEIGHT MAX";"O VE R  ORGANIZACION VETERINARIA REGIONAL SRL";"Propio";
"0688/E";"Oxitocina Agropharma";"AGROPHARMA SALUD ANIMAL SA";"Propio";
"0689/E";"VIGORMEC ";"BIOCHEMIQ SA";"Propio";
"0691/E";"DOXIPHARMA COMPRIMIDOS";"AGROPHARMA SALUD ANIMAL SA";"Propio";
"0693/E";"Cipionato de Estradiol Agropharma";"AGROPHARMA SALUD ANIMAL SA";"Propio";
"0694/E";"GANADOR CROYDON";"ARIO Q CHEMICAL LAB SRL";"Propio";
"0695/E";"GONADYN B";"AGROPHARMA SALUD ANIMAL SA";"Propio";
"0696/E";"PROVIDEAN AQUATEC SEA LICE";"TECNOVAX S.A.";"Propio";
"0698/E";"CDVAC TILAPIA STREPTO INYECTABLE";"CENTRO DIAGNOSTICO VETERINARIO S. A.";"Propio";
"0700/E";"IVERNOLONA CROYDON";"ARIO Q CHEMICAL LAB SRL";"Propio";
"07-001";"Enrofloxacina Inyectable Alquimia";"LABORATORIO ALQUIMIA S.A.";"Propio";
"07-002";"Neocarbosul 2000";"LABORATORIO ALQUIMIA S.A.";"Propio";
"07-003";"Estanoforte inyectable";"AGROPHARMA SALUD ANIMAL SA";"Propio";
"07-004";"Silatox Plus perros";"PROMOPET SRL";"Propio";
"07-005";"Silatox Plus gatos";"PROMOPET SRL";"Propio";
"07-006";"BACTESAL - PLAT OIL";"PLATALAB S.A.";"Propio";
"07-007";"MULTI - PLAT HA";"PLATALAB S.A.";"Propio";
"07-008";"Maxityl";"BIOGENESIS BAGO S.A.";"Propio";
"0701/E";"OVERWEIGHT M FORTE";"O VE R  ORGANIZACION VETERINARIA REGIONAL SRL";"Propio";
"07-010";"Sin Par Gatos";"LABORATORIO LAMAR S.R.L.";"Propio";
"07-011";"SIN PAR";"LABORATORIO LAMAR S.R.L.";"Propio";
"07-012";"ESTREPTOPEN DUO";"LABORATORIO WEIZUR ARGENTINA SA";"Propio";
"07-013";"PROVIDEAN RESPI 8 QUERATO";"TECNOVAX S.A.";"Propio";
"07-014";"Anticonceptivo Rosenbusch";"INSTITUTO ROSENBUSCH S A DE BIOLOGIA E Y A";"Propio";
"07-016";"Carbetocin Arsa";"ARSA S R L S. R. L.";"Propio";
"07-018";"Meloxivet Comprimidos";"JOHN MARTIN SRL";"Propio";
"07-019";"Gonaxal";"BIOGENESIS BAGO S.A.";"Propio";
"07-020";"Vetazina";"VETANCO S. A.";"Propio";
"07-021";"Cloxamp secado";"PHARMAVET SA";"Propio";
"07-022";"THERATRATE XG";"GEA FARM TECHNOLOGIES ARGENTINA S R L";"Propio";
"07-024";"Dompergo";"LADAGA GUILLERMO JUAN BAUTI";"Propio";
"07-025";"NEUMOENTERIMIQ";"BIOCHEMIQ SA";"Propio";
"07-026";"DEXASHOCK";"LABORATORIOS RODENTHIA S.A";"Extensión";
"07-026";"DEXAFLEX 20";"BIOAMERVETLAB";"Propio";
"07-029";"Iodovet Pedigree";"VETSER SA";"Propio";
"0703/E";"VITAMINAS AD3E 5_5 ARIO Q";"ARIO Q CHEMICAL LAB SRL";"Propio";
"07-031";"Clormadinona Interbiol";"INTERBIOL SOCIEDAD DE RESPONSABILIDAD LIMITADA";"Propio";
"07-032";"Prednisolona Lamar";"LABORATORIO LAMAR S.R.L.";"Propio";
"07-033";"Rumio Tonic";"ALLIGNANI HERMANOS S R L";"Propio";
"07-034";"TOLTRAZOL COMPRIMIDOS";"BIOGENESIS BAGO S.A.";"Propio";
"07-036";"Ceftiofur DF Suspension lista para usar Ceftiofur 5%";"DAIRYFARMA SRL";"Propio";
"07-038";"ESTREPTOCILINA RIO DE JANEIRO";"ALLIGNANI HERMANOS S R L";"Propio";
"07-039";"PROVIDEAN LEPTOTEC";"TECNOVAX S.A.";"Propio";
"07-041";"Iver 3,15% D";"PHARMAVET SA";"Propio";
"07-041";"GANAMECTIN 3,15% LA";"LABORATORIO GANAFORT ARGENTINA S.A.";"Extensión";
"07-042";"Mathon K Plus";"NIESER ARGENTINA S A";"Propio";
"07-044";"Algen 20";"LABORATORIOS RICHMOND DIVISION VETERINARIA SA";"Propio";
"07-045";"CUMESTROL";"AGROPHARMA SALUD ANIMAL SA";"Propio";
"07-046";"Furofield";"CHINFIELD SA";"Propio";
"07-047";"AVIPRO 226 BTO2-REO";"INNOSUR";"Propio";
"07-048";"Duo Ruminal";"RUMINAL  S.A.";"Propio";
"07-049";"Fider Point Labyes";"LABYES S A";"Propio";
"07-050";"TILMICOSINA OVER CONCENTRADO";"O VE R  ORGANIZACION VETERINARIA REGIONAL SRL";"Propio";
"07-052";"Argostil";"LABORATORIOS ARGOS S R L";"Propio";
"07-054";"Casco limp Mustad";"MUSTAD ARGENTINA SOCIEDAD ANONIMA";"Propio";
"07-055";"AIRMIX";"BIOCHEMIQ SA";"Propio";
"07-056";"CLOSTRIMIQ MS";"BIOCHEMIQ SA";"Propio";
"07-057";"DISPOCEL MAX";"VON FRANKEN S A I C";"Propio";
"07-058";"DEXA 4 MG";"LABORATORIOS RODENTHIA S.A";"Extensión";
"07-058";"Dexaflex";"BIOAMERVETLAB";"Propio";
"07-059";"BOS Primun Carbunclo";"LABORATORIOS CALIER DE ARGENTINA S.A.";"Extensión";
"07-059";"CARBOMIQ - STERNE";"BIOCHEMIQ SA";"Propio";
"0706/E";"MENBUTONE FARMAGRUP";"AGROPHARMA SALUD ANIMAL SA";"Propio";
"07-060";"BRUCELMIQ";"BIOCHEMIQ SA";"Propio";
"07-066";"BOVILIS BOVIPAST ";"INTERVET ARGENTINA SA";"Propio";
"07-067";"Overtraz";"O VE R  ORGANIZACION VETERINARIA REGIONAL SRL";"Propio";
"07-068";"Tiamulina Over 45%";"O VE R  ORGANIZACION VETERINARIA REGIONAL SRL";"Propio";
"07-069";"Synect Pet Spot-on";"O VE R  ORGANIZACION VETERINARIA REGIONAL SRL";"Propio";
"0707/E";"OVERMAX PREMIUM";"O VE R  ORGANIZACION VETERINARIA REGIONAL SRL";"Propio";
"07-071";"VACUNA CONTRA LA BRUCELOSIS BOVINA CEPA 19 LIOFILIZADA AGROPHARMA";"AGROPHARMA SALUD ANIMAL SA";"Propio";
"07-072";"Antigeno BPA";"AGROPHARMA SALUD ANIMAL SA";"Propio";
"07-073";"Tilmicosina Premix 20% Over";"O VE R  ORGANIZACION VETERINARIA REGIONAL SRL";"Propio";
"07-074";"Overclox MA";"O VE R  ORGANIZACION VETERINARIA REGIONAL SRL";"Propio";
"07-075";"Linimento Mustad";"MUSTAD ARGENTINA SOCIEDAD ANONIMA";"Propio";
"07-077";"Clorhexidina 5% Sport Horse";"SPORT.HORSE S.A";"Extensión";
"07-077";"BUCOGEL";"TECNOVAX BIOFARMA S. A. S.";"Propio";
"07-078";"AMOXILIN 500";"VON FRANKEN S A I C";"Propio";
"07-080";"ENAN TESTO HAMPTON";"ESTABLECIMIENTO CALASTREME SA";"Propio";
"07-081";"Thorciclina C";"LABORATORIO VETERINARIO LOPSONN DE ARGENTINA S A";"Propio";
"07-083";"HIALURONATO DE SODIO CHINFIELD";"CHINFIELD SA";"Propio";
"07-085";"Tramadol John Martin Inyectable";"JOHN MARTIN SRL";"Propio";
"07-086";"UROCAL HAMPTON";"ESTABLECIMIENTO CALASTREME SA";"Propio";
"07-087";"Albendazol Proagro";"PROAGRO SA";"Propio";
"07-088";" PROMECTINA RICO";"PROAGRO SA";"Propio";
"07-088";"BOVICINE PRO";"LABORATORIOS RICHMOND DIVISION VETERINARIA SA";"Extensión";
"07-089";"Complex Querato";"AGROPHARMA SALUD ANIMAL SA";"Propio";
"0709/E";"IVERTOR MAX LA";"ALFA VET SA";"Propio";
"07-090";"Thermo";"LADAGA GUILLERMO JUAN BAUTI";"Propio";
"07-091";"TRIPLE VAC AGROPHARMA";"AGROPHARMA SALUD ANIMAL SA";"Propio";
"07-092";"Artroglycan Plus";"ZOETIS ARGENTINA S R L";"Propio";
"07-097";"TILDREN";"CEVA SALUD ANIMAL S.R.L.";"Propio";
"07-098";"PENISID LPU";"LABORATORIOS SIDWELL SRL";"Extensión";
"07-098";"ATB Listo";"CEVA SALUD ANIMAL S.R.L.";"Propio";
"07-099";"Contractyl";"LABORATORIO WEIZUR ARGENTINA SA";"Propio";
"0710/E";"POLICLOSTRIGEN B+P";"BIOGENESIS BAGO S.A.";"Propio";
"07-100";"OTOVIER SOLUCION LIMPIA OREJAS";"LABORATORIOS J' ANVIER SRL";"Propio";
"07-101";"FIPROGEN F";"CESINI SILVIO GERMAN";"Propio";
"07-102";"Maximo color negro";"LABORATORIOS OSSPRET S.A.";"Propio";
"07-103";"Crema de enjuage tonalizadora Cremsol Black ";"TROCKI JORGE MARCELO";"Propio";
"07-104";"FURO-ZUR-D";"LABORATORIO WEIZUR ARGENTINA SA";"Propio";
"07-105";"TETRAOLEO 100 INMUNER";"LABORATORIOS INMUNER S A I Y C";"Propio";
"07-106";"MAXIMO COLOR BRONCE";"LABORATORIOS OSSPRET S.A.";"Propio";
"07-109";"PROTIPATAGON SELENIO";"FERMIN OSCAR DEL PAPA S.A.";"Propio";
"0711/E";"RACTOPAMINA AGROFARMA";"AGROPHARMA SALUD ANIMAL SA";"Propio";
"07-110";"Cartigen";"VON FRANKEN S A I C";"Propio";
"07-111";"Piperazina Oral";"FACYT S R L";"Propio";
"07-112";"Doxiciclina Ruminal";"RUMINAL  S.A.";"Propio";
"07-117";"VETRIBAC DOSER";"VETANCO S. A.";"Propio";
"07-118";"PROPIPATAGON COBRE";"FERMIN OSCAR DEL PAPA S.A.";"Propio";
"07-119";"PROPIPATAGON FOSFORADO";"FERMIN OSCAR DEL PAPA S.A.";"Propio";
"07-121";"Glicinato de cobre Dairyfarma";"DAIRYFARMA SRL";"Propio";
"07-123";"Butonagen Plus";"CESINI SILVIO GERMAN";"Extensión";
"07-123";"Duosecretina inyectable";"CEVA SALUD ANIMAL S.R.L.";"Propio";
"07-124";"DUOSECRETINA COMPRIMIDOS";"CEVA SALUD ANIMAL S.R.L.";"Propio";
"07-125";"VERMEX - L";"CEVA SALUD ANIMAL S.R.L.";"Propio";
"07-126";"SUINOVAC PARVO ERISIPELA";"BIOGENESIS BAGO S.A.";"Propio";
"07-127";"Suplenut";"BIOGENESIS BAGO S.A.";"Propio";
"07-128";"CARBUNCLO BACTERIDIANO (STERNE) NORT";"LABORATORIOS VETERINARIOS NORT SA";"Propio";
"07-129";"Resflor";"INTERVET ARGENTINA SA";"Propio";
"07-130";"NOBILIS ND C2";"INTERVET ARGENTINA SA";"Propio";
"07-132";"Prefoam";"HYPRED ARGENTINA S A";"Propio";
"07-134";"Mycodin";"LABORATORIO VETERINARIO LOPSONN DE ARGENTINA S A";"Propio";
"07-135";"Crema de enjuage tonalizadora Cremsol Silver";"TROCKI JORGE MARCELO";"Propio";
"07-136";"Crema de enjuage tonalizadora Cremsol Bronze";"TROCKI JORGE MARCELO";"Propio";
"07-137";"Stand Up **";"BIOGENESIS BAGO S.A.";"Propio";
"07-138";"TRAMADOL JOHN MARTIN COMPRIMIDOS";"JOHN MARTIN SRL";"Propio";
"07-141";"TRAMADOL JOHN MARTIN GOTAS";"JOHN MARTIN SRL";"Propio";
"07-142";"AZATIOPRINA J'ANVIER COMPRIMIDOS";"LABORATORIOS J' ANVIER SRL";"Propio";
"07-145";"Ofloxacina  - Condroitin J'anvier";"LABORATORIOS J' ANVIER SRL";"Propio";
"07-146";"Parafasciola";"KW SRL";"Propio";
"07-147";"ANTITOXIL";"ALLIGNANI HERMANOS S R L";"Propio";
"07-148";"CORULETS CICATRIZANTE OFTALMICO";"LABORATORIOS J' ANVIER SRL";"Propio";
"07-152";"Ovarelin **";"CEVA SALUD ANIMAL S.R.L.";"Propio";
"07-156";"Curabichera cicatrizante Rio de Janeio";"ALLIGNANI HERMANOS S R L";"Propio";
"07-157";"GNRH Rio de Janeiro";"ALLIGNANI HERMANOS S R L";"Propio";
"07-161";"Overxicam P.A.";"O VE R  ORGANIZACION VETERINARIA REGIONAL SRL";"Propio";
"07-162";"Vermectin P.A.";"O VE R  ORGANIZACION VETERINARIA REGIONAL SRL";"Propio";
"07-163";"Dexaplus";"PROAGRO SA";"Propio";
"07-164";"Tioctin";"PROAGRO SA";"Propio";
"07-166";"IMPROVAC";"ZOETIS ARGENTINA S R L";"Propio";
"07-167";"TILOPLUS DUO";"LABORATORIOS AVIAR S A";"Propio";
"07-167";"TILFOX DUO";"LABORATORIOS RICHMOND DIVISION VETERINARIA SA";"Extensión";
"07-167";"TILCOMINA FLUX CALIER";"LABORATORIOS CALIER DE ARGENTINA S.A.";"Extensión";
"07-167";"RESPIWELL";"LABORATORIOS SIDWELL SRL";"Extensión";
"07-168";"Ceftilon 5";"LEON PHARMA S. R. L.";"Extensión";
"07-168";"Ceftiogen 5";"CESINI SILVIO GERMAN";"Extensión";
"07-168";"Ceftion";"LABORATORIOS CALIER DE ARGENTINA S.A.";"Extensión";
"07-168";"CEFTIOGEN 5";"TECNOVAX BIOFARMA S. A. S.";"Extensión";
"07-168";"CEFAFUR INYECTABLE ZOOVET";"CEVA SALUD ANIMAL S.R.L.";"Propio";
"07-169";"Pluserelina";"LABORATORIOS CALIER DE ARGENTINA S.A.";"Extensión";
"07-169";"SIDGONAL";"LABORATORIOS SIDWELL SRL";"Extensión";
"07-169";"BUSACET";"LEON PHARMA S. R. L.";"Extensión";
"07-169";"Buserelina Zoovet";"CEVA SALUD ANIMAL S.R.L.";"Propio";
"07-170";"FLOXANOL C GEL OTICO";"LEON PHARMA S. R. L.";"Extensión";
"07-170";"Ciproplus Gel  Otico";"CEVA SALUD ANIMAL S.R.L.";"Propio";
"07-177";"Medicam";"MEDIVET S.A.";"Extensión";
"07-177";"Overxicam *";"O VE R  ORGANIZACION VETERINARIA REGIONAL SRL";"Propio";
"07-178";"OVERSULF ADI";"O VE R  ORGANIZACION VETERINARIA REGIONAL SRL";"Propio";
"07-179";"Adekey";"KW SRL";"Propio";
"0718/E";"AMANTINA SOLUCION INYECTABLE";"LABORATORIOS ESPECIALIDADES VETERINARIAS ALE BET S R L";"Propio";
"07-180";"OVERMECTINA TOTAL EQUINOS";"O VE R  ORGANIZACION VETERINARIA REGIONAL SRL";"Propio";
"07-181";"Prostaglandina Rio de Janeiro";"ALLIGNANI HERMANOS S R L";"Propio";
"07-182";"Menbutona Rio de Janeiro";"ALLIGNANI HERMANOS S R L";"Propio";
"07-185";"NOBILIS SALENVAC T";"INTERVET ARGENTINA SA";"Propio";
"07-187";"DICLACOXI SOLUCION";"BIOFARMA S A";"Propio";
"07-190";"CURABICHERA MANCHESTER PLATA";"FEIT Y OLIVARI S A";"Propio";
"07-191";"Civet Rumigas Forte";"FACYT S R L";"Propio";
"07-192";"CONDROPROTECTOR PITNEY";"LAB VETER PITNEY PHARMA SRL";"Propio";
"07-193";"AMITRAZ MIVET";"MIVET SA";"Propio";
"07-194";"B1 B6 B12 Induvet";"INDUSTRIAS VETERINARIAS S R L";"Propio";
"07-195";"PORCILIS AR-T-DF";"INTERVET ARGENTINA SA";"Propio";
"07-197";"HEPATICO 500";"SPORT.HORSE S.A";"Propio";
"07-197";"Hepatoprotector 500 Mustad";"MUSTAD ARGENTINA SOCIEDAD ANONIMA";"Extensión";
"07-200";"Glucomag";"LABORATORIO WEIZUR ARGENTINA SA";"Propio";
"07-201";"Monensina Phibro 40% Granular";"PHIBRO ANIMAL HEALTH DE ARGENTINA S.R.L";"Propio";
"07-203";"Moksha Crema de Enjuage";"INTERBIOL SOCIEDAD DE RESPONSABILIDAD LIMITADA";"Propio";
"07-205";"Flunixin Hampton";"ESTABLECIMIENTO CALASTREME SA";"Propio";
"07-206";"Bepoten B12 inyectable";"ARIO Q CHEMICAL LAB SRL";"Propio";
"07-207";"Vitular Vaca Caida Plus";"DAIRYFARMA SRL";"Propio";
"07-209";"Butrofina";"LABORATORIO WEIZUR ARGENTINA SA";"Propio";
"07-210";"Flumexine";"LABORATORIO WEIZUR ARGENTINA SA";"Propio";
